date_time,sku,quantity_demanded,customer_id,order_type,price,demand_source,lead_time_days
2/11/2024,SKU_1,17,Cust_13,Online,12.37,Website,3
2/11/2024,SKU_1,13,Cust_17,Online,15.72,Website,4
2/12/2024,SKU_1,13,Cust_1,Online,15.07,Mobile App,5
2/12/2024,SKU_1,20,Cust_5,Online,95.03,Mobile App,4
2/12/2024,SKU_1,20,Cust_17,Online,50.55,Mobile App,2
2/13/2024,SKU_1,14,Cust_1,Online,78.13,Mobile App,5
2/13/2024,SKU_1,15,Cust_8,Wholesale,70.44,Mobile App,3
2/13/2024,SKU_1,20,Cust_12,Online,59.67,Website,3
2/14/2024,SKU_1,39,Cust_17,Wholesale,12.59,Store,2
2/14/2024,SKU_1,38,Cust_19,Wholesale,22.27,Distributor,3
2/15/2024,SKU_1,35,Cust_18,Retail,67.3,Store,4
2/15/2024,SKU_1,31,Cust_6,Online,80.53,Distributor,3
2/16/2024,SKU_1,17,Cust_10,Wholesale,72.79,Website,5
2/16/2024,SKU_1,27,Cust_17,Online,98.2,Website,3
2/16/2024,SKU_1,19,Cust_13,Retail,67.01,Distributor,4
2/17/2024,SKU_1,4,Cust_16,Wholesale,46.03,Distributor,5
2/17/2024,SKU_1,19,Cust_4,Online,90.71,Store,4
2/17/2024,SKU_1,8,Cust_19,Wholesale,83.96,Mobile App,5
2/18/2024,SKU_1,19,Cust_6,Online,58.1,Distributor,3
2/18/2024,SKU_1,13,Cust_15,Online,71.9,Distributor,3
2/19/2024,SKU_1,13,Cust_16,Online,10.23,Distributor,2
2/19/2024,SKU_1,21,Cust_20,Wholesale,58.29,Distributor,3
2/19/2024,SKU_1,15,Cust_14,Retail,78.4,Mobile App,5
2/20/2024,SKU_1,35,Cust_15,Wholesale,56.05,Store,5
2/20/2024,SKU_1,24,Cust_13,Retail,50.27,Store,4
2/21/2024,SKU_1,21,Cust_10,Wholesale,38.99,Store,3
2/21/2024,SKU_1,17,Cust_12,Online,90.15,Distributor,2
2/21/2024,SKU_1,26,Cust_13,Retail,17.82,Store,3
2/22/2024,SKU_1,33,Cust_15,Online,60.8,Mobile App,2
2/22/2024,SKU_1,34,Cust_2,Wholesale,42.05,Website,3
2/23/2024,SKU_1,58,Cust_1,Online,19.16,Mobile App,3
2/24/2024,SKU_1,16,Cust_9,Wholesale,14.65,Store,5
2/24/2024,SKU_1,11,Cust_5,Wholesale,90.69,Distributor,5
2/24/2024,SKU_1,11,Cust_6,Wholesale,83.88,Mobile App,4
2/25/2024,SKU_1,13,Cust_8,Retail,35.2,Distributor,2
2/25/2024,SKU_1,9,Cust_19,Online,76.26,Distributor,4
2/25/2024,SKU_1,8,Cust_1,Retail,79.1,Mobile App,2
2/26/2024,SKU_1,29,Cust_11,Wholesale,14.66,Mobile App,5
2/26/2024,SKU_1,22,Cust_10,Online,15.7,Distributor,3
2/27/2024,SKU_1,56,Cust_5,Online,78.42,Store,4
2/28/2024,SKU_1,16,Cust_6,Wholesale,81.49,Store,2
2/28/2024,SKU_1,17,Cust_18,Retail,93.96,Store,2
2/28/2024,SKU_1,18,Cust_2,Wholesale,15.98,Distributor,5
2/28/2024,SKU_1,22,Cust_8,Wholesale,81.57,Mobile App,5
2/29/2024,SKU_1,31,Cust_3,Online,26.78,Store,4
2/29/2024,SKU_1,34,Cust_13,Retail,45.32,Distributor,5
3/1/2024,SKU_1,21,Cust_8,Retail,90.97,Website,3
3/1/2024,SKU_1,6,Cust_1,Online,41.98,Store,4
3/1/2024,SKU_1,29,Cust_2,Retail,16,Distributor,4
3/2/2024,SKU_1,6,Cust_20,Wholesale,89.08,Website,5
3/2/2024,SKU_1,16,Cust_7,Wholesale,80.97,Mobile App,2
3/2/2024,SKU_1,8,Cust_1,Retail,28.41,Mobile App,3
3/3/2024,SKU_1,33,Cust_10,Online,19.26,Website,4
3/4/2024,SKU_1,27,Cust_5,Online,30.63,Distributor,2
3/4/2024,SKU_1,17,Cust_2,Wholesale,67.7,Store,5
3/4/2024,SKU_1,10,Cust_5,Wholesale,96.32,Distributor,3
3/5/2024,SKU_1,31,Cust_8,Wholesale,51.58,Mobile App,4
3/5/2024,SKU_1,31,Cust_18,Online,33.04,Distributor,5
3/6/2024,SKU_1,13,Cust_12,Online,93.02,Distributor,4
3/6/2024,SKU_1,21,Cust_9,Retail,16.96,Mobile App,5
3/6/2024,SKU_1,13,Cust_9,Retail,91.96,Website,3
3/7/2024,SKU_1,60,Cust_8,Wholesale,45.91,Website,2
3/8/2024,SKU_1,66,Cust_10,Online,10.42,Website,4
3/9/2024,SKU_1,15,Cust_6,Retail,51.91,Store,3
3/9/2024,SKU_1,11,Cust_17,Wholesale,12.96,Store,4
3/9/2024,SKU_1,13,Cust_20,Retail,13.05,Website,2
3/10/2024,SKU_1,30,Cust_11,Retail,29.81,Mobile App,2
3/11/2024,SKU_1,58,Cust_8,Online,36.96,Distributor,2
3/12/2024,SKU_1,23,Cust_19,Wholesale,81.98,Mobile App,5
3/12/2024,SKU_1,43,Cust_16,Wholesale,15.91,Mobile App,4
3/13/2024,SKU_1,16,Cust_18,Retail,58.1,Website,3
3/13/2024,SKU_1,29,Cust_4,Online,40.09,Store,4
3/13/2024,SKU_1,19,Cust_3,Retail,34.37,Mobile App,3
3/14/2024,SKU_1,22,Cust_3,Wholesale,70.47,Website,5
3/14/2024,SKU_1,1,Cust_15,Online,26.07,Website,5
3/14/2024,SKU_1,12,Cust_14,Retail,84.72,Distributor,5
3/14/2024,SKU_1,13,Cust_5,Retail,28.45,Store,4
3/15/2024,SKU_1,16,Cust_1,Wholesale,86.33,Distributor,2
3/15/2024,SKU_1,10,Cust_19,Online,47.93,Mobile App,2
3/15/2024,SKU_1,11,Cust_10,Wholesale,44.17,Store,4
3/15/2024,SKU_1,21,Cust_12,Online,41.07,Distributor,3
3/16/2024,SKU_1,29,Cust_20,Retail,78.72,Distributor,2
3/17/2024,SKU_1,16,Cust_14,Wholesale,81.99,Website,3
3/17/2024,SKU_1,25,Cust_7,Online,22.54,Store,3
3/18/2024,SKU_1,19,Cust_13,Retail,34.51,Store,3
3/18/2024,SKU_1,5,Cust_17,Online,68.63,Mobile App,5
3/18/2024,SKU_1,18,Cust_10,Retail,22.32,Website,4
3/18/2024,SKU_1,16,Cust_12,Online,69.85,Store,3
3/19/2024,SKU_1,65,Cust_17,Retail,46.39,Mobile App,3
3/20/2024,SKU_1,27,Cust_4,Wholesale,32.08,Website,4
3/20/2024,SKU_1,31,Cust_8,Wholesale,42.01,Website,4
3/21/2024,SKU_1,23,Cust_15,Retail,22.15,Distributor,2
3/21/2024,SKU_1,20,Cust_4,Wholesale,33.6,Store,5
3/21/2024,SKU_1,19,Cust_13,Wholesale,40.08,Mobile App,3
3/22/2024,SKU_1,56,Cust_9,Online,41.64,Website,2
3/23/2024,SKU_1,33,Cust_7,Wholesale,83.72,Website,5
3/24/2024,SKU_1,15,Cust_19,Retail,10.47,Distributor,4
3/24/2024,SKU_1,12,Cust_17,Online,81.1,Website,4
3/24/2024,SKU_1,6,Cust_17,Wholesale,17.8,Distributor,5
3/24/2024,SKU_1,11,Cust_17,Wholesale,75.17,Distributor,3
3/25/2024,SKU_1,22,Cust_18,Online,68.2,Store,3
3/25/2024,SKU_1,15,Cust_10,Wholesale,99.94,Mobile App,2
3/25/2024,SKU_1,12,Cust_7,Retail,20.85,Store,2
3/25/2024,SKU_1,13,Cust_18,Wholesale,87.58,Store,4
3/26/2024,SKU_1,29,Cust_10,Wholesale,13.33,Store,5
3/26/2024,SKU_1,27,Cust_2,Wholesale,72.67,Distributor,3
3/27/2024,SKU_1,18,Cust_12,Wholesale,38.38,Website,5
3/27/2024,SKU_1,16,Cust_18,Online,89.74,Mobile App,5
3/27/2024,SKU_1,26,Cust_2,Wholesale,51.57,Mobile App,3
3/28/2024,SKU_1,20,Cust_3,Wholesale,99.81,Distributor,2
3/28/2024,SKU_1,26,Cust_17,Online,13.38,Distributor,2
3/28/2024,SKU_1,10,Cust_10,Retail,47.6,Store,5
3/29/2024,SKU_1,63,Cust_1,Retail,10.3,Website,3
3/30/2024,SKU_1,5,Cust_5,Online,34.95,Website,3
3/30/2024,SKU_1,5,Cust_15,Online,19.85,Website,5
3/30/2024,SKU_1,6,Cust_6,Wholesale,89.12,Mobile App,5
3/30/2024,SKU_1,11,Cust_11,Retail,65.21,Website,4
3/31/2024,SKU_1,8,Cust_19,Online,20.83,Store,3
3/31/2024,SKU_1,6,Cust_9,Online,96.15,Distributor,3
3/31/2024,SKU_1,10,Cust_17,Online,93.5,Mobile App,2
3/31/2024,SKU_1,13,Cust_10,Wholesale,78.24,Mobile App,2
4/1/2024,SKU_1,14,Cust_13,Online,58.33,Website,5
4/1/2024,SKU_1,20,Cust_14,Online,18.23,Website,5
4/1/2024,SKU_1,11,Cust_9,Wholesale,96.01,Distributor,3
4/1/2024,SKU_1,12,Cust_9,Wholesale,68.97,Website,4
4/2/2024,SKU_1,14,Cust_6,Wholesale,75.11,Mobile App,3
4/2/2024,SKU_1,14,Cust_6,Online,29.82,Website,5
4/2/2024,SKU_1,1,Cust_19,Retail,61.42,Distributor,3
4/3/2024,SKU_1,9,Cust_13,Online,76.05,Distributor,4
4/3/2024,SKU_1,12,Cust_16,Online,40.06,Website,2
4/3/2024,SKU_1,18,Cust_10,Wholesale,72.91,Distributor,4
4/3/2024,SKU_1,21,Cust_10,Retail,83.8,Website,3
4/4/2024,SKU_1,19,Cust_18,Retail,84.89,Website,5
4/4/2024,SKU_1,21,Cust_17,Wholesale,43.9,Distributor,5
4/4/2024,SKU_1,20,Cust_13,Wholesale,21.56,Store,3
4/5/2024,SKU_1,23,Cust_15,Retail,77.83,Mobile App,5
4/5/2024,SKU_1,20,Cust_20,Retail,95.26,Distributor,2
4/5/2024,SKU_1,24,Cust_1,Retail,65.88,Store,3
4/6/2024,SKU_1,21,Cust_14,Wholesale,97.2,Distributor,4
4/6/2024,SKU_1,19,Cust_7,Online,11.99,Mobile App,4
4/7/2024,SKU_1,10,Cust_19,Wholesale,71.5,Mobile App,3
4/7/2024,SKU_1,6,Cust_7,Wholesale,81.53,Website,4
4/7/2024,SKU_1,4,Cust_20,Retail,79.55,Distributor,3
4/8/2024,SKU_1,18,Cust_15,Online,67.47,Mobile App,4
4/8/2024,SKU_1,13,Cust_5,Wholesale,38.08,Mobile App,5
4/8/2024,SKU_1,25,Cust_3,Online,68.65,Distributor,3
4/9/2024,SKU_1,25,Cust_12,Wholesale,97.14,Mobile App,2
4/9/2024,SKU_1,22,Cust_15,Wholesale,86.03,Distributor,4
4/9/2024,SKU_1,22,Cust_3,Online,21.81,Website,5
4/10/2024,SKU_1,24,Cust_20,Online,28.05,Website,5
4/10/2024,SKU_1,24,Cust_2,Wholesale,98.59,Website,5
4/10/2024,SKU_1,26,Cust_18,Retail,97.72,Mobile App,5
4/10/2024,SKU_1,12,Cust_11,Online,78.14,Distributor,3
4/11/2024,SKU_1,59,Cust_9,Online,19.25,Mobile App,5
4/12/2024,SKU_1,16,Cust_16,Retail,65.63,Distributor,2
4/12/2024,SKU_1,18,Cust_1,Retail,58.08,Website,2
4/12/2024,SKU_1,20,Cust_1,Online,17.07,Mobile App,4
4/13/2024,SKU_1,21,Cust_10,Wholesale,70.33,Distributor,4
4/13/2024,SKU_1,19,Cust_3,Wholesale,12.84,Mobile App,2
4/14/2024,SKU_1,6,Cust_12,Retail,66.28,Distributor,3
4/14/2024,SKU_1,15,Cust_15,Wholesale,53.6,Store,5
4/14/2024,SKU_1,19,Cust_3,Wholesale,57.38,Mobile App,3
4/15/2024,SKU_1,27,Cust_18,Retail,63.4,Distributor,2
4/15/2024,SKU_1,34,Cust_19,Wholesale,52.32,Website,5
4/15/2024,SKU_1,17,Cust_19,Retail,11.88,Store,3
4/16/2024,SKU_1,53,Cust_3,Online,16.5,Store,4
4/17/2024,SKU_1,63,Cust_7,Online,88.14,Store,3
4/18/2024,SKU_1,62,Cust_12,Retail,98.89,Distributor,3
4/19/2024,SKU_1,66,Cust_19,Online,49.48,Website,3
4/20/2024,SKU_1,14,Cust_4,Retail,68.95,Store,4
4/20/2024,SKU_1,14,Cust_12,Wholesale,66.07,Distributor,2
4/20/2024,SKU_1,6,Cust_8,Retail,26.17,Distributor,3
4/20/2024,SKU_1,10,Cust_14,Retail,26.29,Website,3
4/21/2024,SKU_1,32,Cust_15,Retail,56.33,Website,5
4/22/2024,SKU_1,29,Cust_7,Retail,68.69,Website,2
4/22/2024,SKU_1,36,Cust_5,Wholesale,62.96,Distributor,5
4/23/2024,SKU_1,13,Cust_13,Wholesale,50.84,Store,3
4/23/2024,SKU_1,2,Cust_9,Online,50.45,Distributor,4
4/23/2024,SKU_1,16,Cust_12,Online,32.73,Mobile App,5
4/23/2024,SKU_1,23,Cust_15,Online,58.02,Website,2
4/24/2024,SKU_1,5,Cust_12,Wholesale,88.14,Distributor,4
4/24/2024,SKU_1,13,Cust_2,Online,57.81,Distributor,3
4/24/2024,SKU_1,11,Cust_1,Wholesale,30.22,Website,2
4/24/2024,SKU_1,25,Cust_20,Online,53.19,Store,4
4/25/2024,SKU_1,34,Cust_2,Online,67.52,Website,4
4/25/2024,SKU_1,35,Cust_18,Wholesale,70.02,Distributor,4
4/26/2024,SKU_1,1,Cust_13,Retail,28.17,Store,5
4/26/2024,SKU_1,11,Cust_5,Wholesale,25.94,Mobile App,2
4/26/2024,SKU_1,26,Cust_11,Retail,11.58,Mobile App,2
4/26/2024,SKU_1,16,Cust_17,Wholesale,93.79,Mobile App,5
4/27/2024,SKU_1,36,Cust_1,Wholesale,94.68,Mobile App,2
4/28/2024,SKU_1,6,Cust_2,Retail,64.45,Store,2
4/28/2024,SKU_1,10,Cust_1,Online,99.4,Website,2
4/28/2024,SKU_1,8,Cust_11,Retail,46.37,Mobile App,5
4/28/2024,SKU_1,7,Cust_6,Wholesale,82.71,Mobile App,2
4/29/2024,SKU_1,64,Cust_1,Retail,59,Website,2
4/30/2024,SKU_1,17,Cust_1,Retail,45.66,Website,4
4/30/2024,SKU_1,14,Cust_17,Online,50,Mobile App,3
4/30/2024,SKU_1,7,Cust_11,Wholesale,25.16,Mobile App,3
5/1/2024,SKU_1,16,Cust_8,Retail,53.13,Website,2
5/1/2024,SKU_1,25,Cust_12,Online,45.89,Website,4
5/2/2024,SKU_1,1,Cust_6,Retail,74.63,Store,4
5/2/2024,SKU_1,11,Cust_13,Online,27.62,Store,5
5/2/2024,SKU_1,19,Cust_4,Wholesale,44.21,Distributor,2
5/2/2024,SKU_1,16,Cust_13,Retail,27.51,Mobile App,2
5/3/2024,SKU_1,9,Cust_15,Wholesale,62.28,Mobile App,5
5/3/2024,SKU_1,9,Cust_18,Retail,34.54,Distributor,3
5/3/2024,SKU_1,14,Cust_12,Retail,81.98,Store,4
5/3/2024,SKU_1,14,Cust_17,Retail,26.67,Distributor,5
5/4/2024,SKU_1,14,Cust_1,Online,66.98,Store,2
5/4/2024,SKU_1,8,Cust_9,Retail,29.08,Mobile App,5
5/4/2024,SKU_1,13,Cust_8,Online,31.32,Website,5
5/4/2024,SKU_1,7,Cust_18,Wholesale,86.61,Store,3
5/5/2024,SKU_1,36,Cust_1,Wholesale,62.79,Store,2
5/6/2024,SKU_1,15,Cust_12,Retail,52.56,Website,2
5/6/2024,SKU_1,16,Cust_3,Wholesale,59.2,Mobile App,2
5/6/2024,SKU_1,14,Cust_14,Online,63.5,Mobile App,2
5/7/2024,SKU_1,34,Cust_18,Wholesale,49.84,Website,4
5/7/2024,SKU_1,20,Cust_9,Online,11.42,Distributor,5
5/8/2024,SKU_1,31,Cust_10,Wholesale,79.54,Distributor,5
5/8/2024,SKU_1,26,Cust_5,Online,63.62,Website,5
5/9/2024,SKU_1,56,Cust_4,Online,56.72,Mobile App,5
5/10/2024,SKU_1,52,Cust_12,Wholesale,67.62,Distributor,3
5/11/2024,SKU_1,10,Cust_3,Retail,70.25,Store,5
5/11/2024,SKU_1,16,Cust_2,Retail,60.2,Mobile App,4
5/11/2024,SKU_1,6,Cust_12,Retail,96.19,Website,2
5/11/2024,SKU_1,8,Cust_15,Online,25.34,Mobile App,3
5/12/2024,SKU_1,23,Cust_17,Wholesale,93.45,Website,4
5/12/2024,SKU_1,16,Cust_19,Retail,99.32,Distributor,5
5/13/2024,SKU_1,19,Cust_20,Retail,33.13,Distributor,4
5/13/2024,SKU_1,8,Cust_1,Online,84.35,Mobile App,5
5/13/2024,SKU_1,8,Cust_2,Online,17.89,Store,2
5/13/2024,SKU_1,9,Cust_9,Online,37.5,Distributor,3
5/14/2024,SKU_1,22,Cust_15,Retail,60.99,Distributor,3
5/14/2024,SKU_1,16,Cust_12,Wholesale,45.75,Mobile App,3
5/14/2024,SKU_1,28,Cust_10,Retail,74.93,Store,5
5/15/2024,SKU_1,26,Cust_20,Retail,17.28,Website,4
5/15/2024,SKU_1,23,Cust_18,Retail,97.8,Distributor,3
5/15/2024,SKU_1,14,Cust_2,Online,53.14,Website,5
5/16/2024,SKU_1,34,Cust_14,Online,38.58,Store,2
5/16/2024,SKU_1,18,Cust_6,Online,69.97,Mobile App,5
5/16/2024,SKU_1,25,Cust_15,Online,59.46,Distributor,5
5/17/2024,SKU_1,1,Cust_13,Wholesale,55.55,Mobile App,2
5/17/2024,SKU_1,16,Cust_11,Retail,64.23,Store,4
5/17/2024,SKU_1,10,Cust_19,Online,80.27,Mobile App,2
5/17/2024,SKU_1,15,Cust_9,Wholesale,31.53,Store,2
5/18/2024,SKU_1,34,Cust_14,Wholesale,26,Distributor,5
5/19/2024,SKU_1,36,Cust_17,Online,65.37,Distributor,2
5/20/2024,SKU_1,15,Cust_4,Retail,48.35,Store,2
5/20/2024,SKU_1,14,Cust_3,Wholesale,57.3,Mobile App,3
5/20/2024,SKU_1,20,Cust_7,Online,44.84,Website,3
5/20/2024,SKU_1,11,Cust_6,Wholesale,62.39,Store,3
5/21/2024,SKU_1,12,Cust_7,Online,29.37,Website,3
5/21/2024,SKU_1,9,Cust_11,Wholesale,54.94,Distributor,4
5/21/2024,SKU_1,14,Cust_4,Retail,39.22,Distributor,3
5/21/2024,SKU_1,1,Cust_20,Online,51.35,Website,3
5/22/2024,SKU_1,57,Cust_17,Online,19.19,Distributor,2
5/23/2024,SKU_1,56,Cust_1,Retail,93.73,Distributor,5
5/24/2024,SKU_1,25,Cust_11,Wholesale,69.34,Store,3
5/24/2024,SKU_1,22,Cust_13,Wholesale,19.51,Distributor,2
5/24/2024,SKU_1,24,Cust_5,Online,13.42,Store,4
5/24/2024,SKU_1,21,Cust_3,Online,96.09,Website,5
5/25/2024,SKU_1,20,Cust_14,Wholesale,97.37,Store,4
5/25/2024,SKU_1,15,Cust_5,Online,69.43,Distributor,5
5/26/2024,SKU_1,13,Cust_10,Retail,17.44,Distributor,5
5/26/2024,SKU_1,9,Cust_8,Online,97.84,Store,3
5/26/2024,SKU_1,9,Cust_3,Online,32.99,Distributor,3
5/26/2024,SKU_1,12,Cust_10,Online,21.27,Store,5
5/27/2024,SKU_1,29,Cust_13,Online,92.83,Distributor,5
5/27/2024,SKU_1,23,Cust_10,Wholesale,19.97,Mobile App,4
5/28/2024,SKU_1,62,Cust_8,Wholesale,59.51,Mobile App,2
5/29/2024,SKU_1,28,Cust_14,Online,68.12,Store,3
5/29/2024,SKU_1,28,Cust_7,Online,33.26,Store,3
5/30/2024,SKU_1,58,Cust_8,Retail,75.56,Store,4
5/31/2024,SKU_1,24,Cust_11,Retail,77.79,Website,3
5/31/2024,SKU_1,25,Cust_2,Online,71.68,Distributor,4
5/31/2024,SKU_1,16,Cust_18,Wholesale,53.96,Store,5
5/31/2024,SKU_1,9,Cust_5,Online,76.91,Store,4
6/1/2024,SKU_1,11,Cust_19,Wholesale,72,Store,5
6/1/2024,SKU_1,22,Cust_15,Retail,60.22,Distributor,2
6/2/2024,SKU_1,11,Cust_5,Wholesale,99.26,Distributor,4
6/2/2024,SKU_1,13,Cust_11,Online,59.96,Distributor,3
6/2/2024,SKU_1,7,Cust_7,Wholesale,26.92,Website,5
6/2/2024,SKU_1,10,Cust_10,Retail,85.6,Distributor,2
6/3/2024,SKU_1,38,Cust_14,Online,96.23,Website,5
6/3/2024,SKU_1,24,Cust_6,Wholesale,99.67,Distributor,4
6/4/2024,SKU_1,57,Cust_4,Retail,89.76,Store,3
6/5/2024,SKU_1,57,Cust_13,Online,62.94,Distributor,2
